ticketId,source,destination,fare,tax
100001,IAA,ICA,1000,2
100002,IAB,ICC,1000,2
100003,IAD,ICI,1000,2
100004,IAG,ICK,1000,2
100005,IAH,ICL,1000,2
100006,IAM,ICN,1000,2
100007,IAN,ICO,1000,2
100008,IAO,ICS,1000,2
100009,IAQ,ICT,1000,2
100010,IAR,ICY,1000,2
100011,IAS,ICA,1000,2
100012,IAU,ICC,1000,2
100013,IAA,ICI,1000,2
100014,IAB,ICK,1000,2
100015,IAD,ICL,1000,2
100016,IAG,ICN,1000,2
100017,IAH,ICO,1000,2
100018,IAM,ICS,1000,2
100019,IAN,ICT,1000,2
100020,IAO,ICY,1000,2
100021,IAO,ICY,1000,2
100022,IAO,ICY,1000,2
100023,IAO,ICY,1000,2
100024,IAO,ICY,1000,2
100025,IAO,ICY,1000,2
100026,IAO,ICY,1000,2
100027,IAO,ICY,1000,2
100028,IAO,ICY,1000,2
100029,IAO,ICY,1000,2
100030,IAO,ICY,1000,2
100031,IAO,ICY,1000,2
100032,IAO,ICY,1000,2
100033,IAO,ICY,1000,2
100034,IAO,ICY,1000,2
100035,IAO,ICY,1000,2
100036,IAO,ICY,1000,2
100037,IAO,ICY,1000,2
100038,IAO,ICY,1000,2
100039,IAO,ICY,1000,2
100040,IAO,ICY,1000,2
100041,IAO,ICY,1000,2
100042,IAO,ICY,1000,2
100043,IAO,ICY,1000,2
100044,IAO,ICY,1000,2
100045,IAO,ICY,1000,2
100046,IAO,ICY,1000,2
100047,IAO,ICY,1000,2
100048,IAO,ICY,1000,2
100049,IAO,ICY,1000,2
100050,IAO,ICY,1000,2
100051,IAO,ICY,1000,2
100052,IAO,ICY,1000,2
100053,IAO,ICY,1000,2
100054,IAO,ICY,1000,2
100055,IAO,ICY,1000,2
100056,IAO,ICY,1000,2
100057,IAO,ICY,1000,2
100058,IAO,ICY,1000,2
100059,IAO,ICY,1000,2
100060,IAO,ICY,1000,2
100061,IAO,ICY,1000,2
100062,IAO,ICY,1000,2
100063,IAO,ICY,1000,2
100064,IAO,ICY,1000,2
100065,IAO,ICY,1000,2
100066,IAO,ICY,1000,2
100067,IAO,ICY,1000,2
100068,IAO,ICY,1000,2
100069,IAO,ICY,1000,2
100070,IAO,ICY,1000,2
100071,IAO,ICY,1000,2
100072,IAO,ICY,1000,2
100073,IAO,ICY,1000,2
100074,IAO,ICY,1000,2
100075,IAO,ICY,1000,2
100076,IAO,ICY,1000,2
100077,IAO,ICY,1000,2
100078,IAO,ICY,1000,2
100079,IAO,ICY,1000,2
100080,IAO,ICY,1000,2
100081,IAO,ICY,1000,2
100082,IAO,ICY,1000,2
100083,IAO,ICY,1000,2
100084,IAO,ICY,1000,2
100085,IAO,ICY,1000,2
100086,IAO,ICY,1000,2
100087,IAO,ICY,1000,2
100088,IAO,ICY,1000,2
100089,IAO,ICY,1000,2
100090,IAO,ICY,1000,2
100091,IAO,ICY,1000,2
100092,IAO,ICY,1000,2
100093,IAO,ICY,1000,2
100094,IAO,ICY,1000,2
100095,IAO,ICY,1000,2
100096,IAO,ICY,1000,2
100097,IAO,ICY,1000,2
100098,IAO,ICY,1000,2
100099,IAO,ICY,1000,2
100100,IAO,ICY,1000,2
100101,IAO,ICY,1000,2
100102,IAO,ICY,1000,2
100103,IAO,ICY,1000,2
100104,IAO,ICY,1000,2
100105,IAO,ICY,1000,2
100106,IAO,ICY,1000,2
100107,IAO,ICY,1000,2
100108,IAO,ICY,1000,2
100109,IAO,ICY,1000,2
100110,IAO,ICY,1000,2
100111,IAO,ICY,1000,2
100112,IAO,ICY,1000,2
100113,IAO,ICY,1000,2
100114,IAO,ICY,1000,2
100115,IAO,ICY,1000,2
100116,IAO,ICY,1000,2
100117,IAO,ICY,1000,2
100118,IAO,ICY,1000,2
100119,IAO,ICY,1000,2
100120,IAO,ICY,1000,2
100121,IAO,ICY,1000,2
100122,IAO,ICY,1000,2
100123,IAO,ICY,1000,2
100124,IAO,ICY,1000,2
100125,IAO,ICY,1000,2
100126,IAO,ICY,1000,2
100127,IAO,ICY,1000,2
100128,IAO,ICY,1000,2
100129,IAO,ICY,1000,2
100130,IAO,ICY,1000,2
100131,IAO,ICY,1000,2
100132,IAO,ICY,1000,2
100133,IAO,ICY,1000,2
100134,IAO,ICY,1000,2
100135,IAO,ICY,1000,2
100136,IAO,ICY,1000,2
100137,IAO,ICY,1000,2
100138,IAO,ICY,1000,2
100139,IAO,ICY,1000,2
100140,IAO,ICY,1000,2
100141,IAO,ICY,1000,2
100142,IAO,ICY,1000,2
100143,IAO,ICY,1000,2
100144,IAO,ICY,1000,2
100145,IAO,ICY,1000,2
100146,IAO,ICY,1000,2
100147,IAO,ICY,1000,2
100148,IAO,ICY,1000,2
100149,IAO,ICY,1000,2
100150,IAO,ICY,1000,2
100151,IAO,ICY,1000,2
100152,IAO,ICY,1000,2
100153,IAO,ICY,1000,2
100154,IAO,ICY,1000,2
100155,IAO,ICY,1000,2
