,source,destination,fare,tax
200001,IAA,ICA,2000,4
200002,IAB,ICC,2000,4
200003,IAD,ICI,2000,4
200004,IAG,ICK,2000,4
200005,IAH,ICL,2000,4
200006,IAM,ICN,2000,4
200007,IAN,ICO,2000,4
200008,IAO,ICS,2000,4
200009,IAQ,ICT,2000,4
200010,IAR,ICY,2000,4
200011,IAS,ICA,2000,4
200012,IAU,ICC,2000,4
200013,IAA,ICI,2000,4
200014,IAB,ICK,2000,4
200015,IAD,ICL,2000,4
200016,IAG,ICN,2000,4
200017,IAH,ICO,2000,4
200018,IAM,ICS,2000,4
200019,IAN,ICT,2000,4
200020,IAO,ICY,2000,4
200021,IAO,ICY,2000,4
200022,IAO,ICY,2000,4
200023,IAO,ICY,2000,4
200024,IAO,ICY,2000,4
200025,IAO,ICY,2000,4
200026,IAO,ICY,2000,4
200027,IAO,ICY,2000,4
200028,IAO,ICY,2000,4
200029,IAO,ICY,2000,4
200030,IAO,ICY,2000,4
200031,IAO,ICY,2000,4
200032,IAO,ICY,2000,4
200033,IAO,ICY,2000,4
200034,IAO,ICY,2000,4
200035,IAO,ICY,2000,4
200036,IAO,ICY,2000,4
200037,IAO,ICY,2000,4
200038,IAO,ICY,2000,4
200039,IAO,ICY,2000,4
200040,IAO,ICY,2000,4
200041,IAO,ICY,2000,4
200042,IAO,ICY,2000,4
200043,IAO,ICY,2000,4
200044,IAO,ICY,2000,4
200045,IAO,ICY,2000,4
200046,IAO,ICY,2000,4
200047,IAO,ICY,2000,4
200048,IAO,ICY,2000,4
200049,IAO,ICY,2000,4
200050,IAO,ICY,2000,4
200051,IAO,ICY,2000,4
200052,IAO,ICY,2000,4
200053,IAO,ICY,2000,4
200054,IAO,ICY,2000,4
200055,IAO,ICY,2000,4
200056,IAO,ICY,2000,4
200057,IAO,ICY,2000,4
200058,IAO,ICY,2000,4
200059,IAO,ICY,2000,4
200060,IAO,ICY,2000,4
200061,IAO,ICY,2000,4
200062,IAO,ICY,2000,4
200063,IAO,ICY,2000,4
200064,IAO,ICY,2000,4
200065,IAO,ICY,2000,4
200066,IAO,ICY,2000,4
200067,IAO,ICY,2000,4
200068,IAO,ICY,2000,4
200069,IAO,ICY,2000,4
200070,IAO,ICY,2000,4
200071,IAO,ICY,2000,4
200072,IAO,ICY,2000,4
200073,IAO,ICY,2000,4
200074,IAO,ICY,2000,4
200075,IAO,ICY,2000,4
200076,IAO,ICY,2000,4
200077,IAO,ICY,2000,4
200078,IAO,ICY,2000,4
200079,IAO,ICY,2000,4
200080,IAO,ICY,2000,4
200081,IAO,ICY,2000,4
200082,IAO,ICY,2000,4
200083,IAO,ICY,2000,4
200084,IAO,ICY,2000,4
200085,IAO,ICY,2000,4
200086,IAO,ICY,2000,4
200087,IAO,ICY,2000,4
200088,IAO,ICY,2000,4
200089,IAO,ICY,2000,4
200090,IAO,ICY,2000,4
200091,IAO,ICY,2000,4
200092,IAO,ICY,2000,4
200093,IAO,ICY,2000,4
200094,IAO,ICY,2000,4
200095,IAO,ICY,2000,4
200096,IAO,ICY,2000,4
200097,IAO,ICY,2000,4
200098,IAO,ICY,2000,4
200099,IAO,ICY,2000,4
200100,IAO,ICY,2000,4
200101,IAO,ICY,2000,4
200102,IAO,ICY,2000,4
200103,IAO,ICY,2000,4
200104,IAO,ICY,2000,4
200105,IAO,ICY,2000,4
200106,IAO,ICY,2000,4
200107,IAO,ICY,2000,4
200108,IAO,ICY,2000,4
200109,IAO,ICY,2000,4
200110,IAO,ICY,2000,4
200111,IAO,ICY,2000,4
200112,IAO,ICY,2000,4
200113,IAO,ICY,2000,4
200114,IAO,ICY,2000,4
200115,IAO,ICY,2000,4
200116,IAO,ICY,2000,4
200117,IAO,ICY,2000,4
200118,IAO,ICY,2000,4
200119,IAO,ICY,2000,4
200120,IAO,ICY,2000,4
200121,IAO,ICY,2000,4
200122,IAO,ICY,2000,4
200123,IAO,ICY,2000,4
200124,IAO,ICY,2000,4
200125,IAO,ICY,2000,4
200126,IAO,ICY,2000,4
200127,IAO,ICY,2000,4
200128,IAO,ICY,2000,4
200129,IAO,ICY,2000,4
200130,IAO,ICY,2000,4
200131,IAO,ICY,2000,4
200132,IAO,ICY,2000,4
200133,IAO,ICY,2000,4
200134,IAO,ICY,2000,4
200135,IAO,ICY,2000,4
200136,IAO,ICY,2000,4
200137,IAO,ICY,2000,4
200138,IAO,ICY,2000,4
200139,IAO,ICY,2000,4
200140,IAO,ICY,2000,4
200141,IAO,ICY,2000,4
200142,IAO,ICY,2000,4
200143,IAO,ICY,2000,4
200144,IAO,ICY,2000,4
200145,IAO,ICY,2000,4
200146,IAO,ICY,2000,4
200147,IAO,ICY,2000,4
200148,IAO,ICY,2000,4
200149,IAO,ICY,2000,4
200150,IAO,ICY,2000,4
200151,IAO,ICY,2000,4
200152,IAO,ICY,2000,4
200153,IAO,ICY,2000,4
200154,IAO,ICY,2000,4
200155,IAO,ICY,2000,4
200156,IAO,ICY,2000,4
200157,IAO,ICY,2000,4
200158,IAO,ICY,2000,4
200159,IAO,ICY,2000,4
200160,IAO,ICY,2000,4
200161,IAO,ICY,2000,4
200162,IAO,ICY,2000,4
200163,IAO,ICY,2000,4
200164,IAO,ICY,2000,4
200165,IAO,ICY,2000,4
200166,IAO,ICY,2000,4
200167,IAO,ICY,2000,4
200168,IAO,ICY,2000,4
200169,IAO,ICY,2000,4
200170,IAO,ICY,2000,4
200171,IAO,ICY,2000,4
200172,IAO,ICY,2000,4
200173,IAO,ICY,2000,4
200174,IAO,ICY,2000,4
200175,IAO,ICY,2000,4
200176,IAO,ICY,2000,4
200177,IAO,ICY,2000,4
200178,IAO,ICY,2000,4
200179,IAO,ICY,2000,4
200180,IAO,ICY,2000,4
200181,IAO,ICY,2000,4
200182,IAO,ICY,2000,4
200183,IAO,ICY,2000,4
200184,IAO,ICY,2000,4
200185,IAO,ICY,2000,4
200186,IAO,ICY,2000,4
200187,IAO,ICY,2000,4
200188,IAO,ICY,2000,4
200189,IAO,ICY,2000,4
200190,IAO,ICY,2000,4
200191,IAO,ICY,2000,4
200192,IAO,ICY,2000,4
200193,IAO,ICY,2000,4
200194,IAO,ICY,2000,4
200195,IAO,ICY,2000,4
200196,IAO,ICY,2000,4
200197,IAO,ICY,2000,4
200198,IAO,ICY,2000,4
200199,IAO,ICY,2000,4
200200,IAO,ICY,2000,4
200201,IAO,ICY,2000,4
200202,IAO,ICY,2000,4
200203,IAO,ICY,2000,4
200204,IAO,ICY,2000,4
200205,IAO,ICY,2000,4
200206,IAO,ICY,2000,4
200207,IAO,ICY,2000,4
200208,IAO,ICY,2000,4
200209,IAO,ICY,2000,4
200210,IAO,ICY,2000,4
200211,IAO,ICY,2000,4
200212,IAO,ICY,2000,4
200213,IAO,ICY,2000,4
200214,IAO,ICY,2000,4
200215,IAO,ICY,2000,4
200216,IAO,ICY,2000,4
200217,IAO,ICY,2000,4
200218,IAO,ICY,2000,4
200219,IAO,ICY,2000,4
